Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Unnamed: 12,Prediction Mean,Prediction STD,Phenotype,Binary Prediction Mean
Escherichia coli BEED10 (562.39594),Escherichia coli BEED10 ,562,562.39594,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli BEED10,,,,,
Escherichia coli BL21 (511693.5),Escherichia coli BL21 ,511693,511693.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli BL21,,0.986328125,0.0080898640262602,Human Pathogenic,1.0
Escherichia coli BL21(DE3) (469008.4),Escherichia coli BL21,469008,469008.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli BL21(DE3),,0.9833984375,0.0079110604228611,Human Pathogenic,1.0
Escherichia coli BW2952 (595496.3),Escherichia coli BW2952 ,595496,595496.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli BW2952,,0.980224609375,0.0111372018827705,Human Pathogenic,1.0
Escherichia coli CFT073 (199310.1),Escherichia coli CFT073 ,199310,199310.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli CFT073,,0.974853515625,0.0131269580652051,Human Pathogenic,1.0
Escherichia coli DH1 (536056.3),Escherichia coli DH1 ,536056,536056.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli DH1,,0.9791259765625,0.0099732267079883,Human Pathogenic,1.0
Escherichia coli ED1a (585397.9),Escherichia coli ED1a ,585397,585397.9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli ED1a,,0.9814453125,0.0102829295354749,Human Pathogenic,1.0
Escherichia coli ETEC H10407 (316401.4),Escherichia coli ETEC H10407 ,316401,316401.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli ETEC H10407,,0.983642578125,0.0098537285501028,Human Pathogenic,1.0
Escherichia coli HS (331112.6),Escherichia coli HS ,331112,331112.6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli HS,,0.980224609375,0.010822343876612,Human Pathogenic,1.0
Escherichia coli IAI1 (585034.5),Escherichia coli IAI1 ,585034,585034.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli IAI1,,0.981689453125,0.008927004540421,Human Pathogenic,1.0
Escherichia coli IAI39 (585057.6),Escherichia coli IAI39 ,585057,585057.6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli IAI39,,0.9788818359375,0.0121893182034047,Human Pathogenic,1.0
Escherichia coli IHE3034 (714962.3),Escherichia coli IHE3034 ,714962,714962.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli IHE3034,,0.9808349609375,0.0072619012293632,Human Pathogenic,1.0
Escherichia coli K12 (83333.1),Escherichia coli K12 ,83333,83333.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli K-12,,0.9854736328125,0.0084880571612267,Human Pathogenic,1.0
Escherichia coli KO11 (595495.5),Escherichia coli KO11 ,595495,595495.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli KO11FL,,0.980712890625,0.0091185788071206,Human Pathogenic,1.0
Escherichia coli LF82 (591946.4),Escherichia coli LF82 ,591946,591946.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli LF82,,0.9774169921875,0.0077387186819313,Human Pathogenic,1.0
Escherichia coli LFYP5 (6666666.201637),Escherichia coli LFYP5 ,562,6666666.201637,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli LFYP5,,0.978271484375,0.0094081293300769,Human Pathogenic,1.0
Escherichia coli MS 107-1 (679207.4),Escherichia coli MS 107-1 ,679207,679207.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 107-1,,0.9735107421875,0.0134005184059072,Human Pathogenic,1.0
Escherichia coli MS 115-1 (749537.3),Escherichia coli MS 115-1 ,749537,749537.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 115-1,,0.977294921875,0.0091185788071206,Human Pathogenic,1.0
Escherichia coli MS 116-1 (749538.3),Escherichia coli MS 116-1 ,749538,749538.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 116-1,,0.9759521484375,0.0119273377548245,Human Pathogenic,1.0
Escherichia coli MS 119-7 (679206.4),Escherichia coli MS 119-7 ,679206,679206.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 119-7,,0.9779052734375,0.0122527221068632,Human Pathogenic,1.0
Escherichia coli MS 124-1 (679205.4),Escherichia coli MS 124-1 ,679205,679205.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 124-1,,0.981201171875,0.013266970868353,Human Pathogenic,1.0
Escherichia coli MS 145-7 (679204.3),Escherichia coli MS 145-7 ,679204,679204.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 145-7,,0.9852294921875,0.0106551371242197,Human Pathogenic,1.0
Escherichia coli MS 146-1 (749540.3),Escherichia coli MS 146-1 ,749540,749540.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 146-1,,0.9725341796875,0.0107164942644963,Human Pathogenic,1.0
Escherichia coli MS 182-1 (749545.3),Escherichia coli MS 182-1 ,749545,749545.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 182-1,,0.976318359375,0.0128840574237878,Human Pathogenic,1.0
Escherichia coli MS 185-1 (749546.3),Escherichia coli MS 185-1 ,749546,749546.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 185-1,,0.9696044921875,0.0095394649436342,Human Pathogenic,1.0
Escherichia coli MS 187-1 (749547.3),Escherichia coli MS 187-1 ,749547,749547.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 187-1,,0.970458984375,0.0087243986255886,Human Pathogenic,1.0
Escherichia coli MS 196-1 (749548.3),Escherichia coli MS 196-1 ,749548,749548.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 196-1,,0.9619140625,0.0202003316342164,Human Pathogenic,1.0
Escherichia coli MS 198-1 (749549.3),Escherichia coli MS 198-1 ,749549,749549.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 198-1,,0.977783203125,0.0092548297954222,Human Pathogenic,1.0
Escherichia coli MS 200-1 (749550.3),Escherichia coli MS 200-1 ,749550,749550.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 200-1,,0.969970703125,0.0140439228694039,Human Pathogenic,1.0
Escherichia coli MS 21-1 (749527.3),Escherichia coli MS 21-1 ,749527,749527.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 21-1,,0.9765625,0.0106809779561657,Human Pathogenic,1.0
Escherichia coli MS 45-1 (749528.3),Escherichia coli MS 45-1 ,749528,749528.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 45-1,,0.9703369140625,0.0163204857875011,Human Pathogenic,1.0
Escherichia coli MS 69-1 (749531.3),Escherichia coli MS 69-1 ,749531,749531.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 69-1,,0.9749755859375,0.0112959569449833,Human Pathogenic,1.0
Escherichia coli MS 78-1 (749532.3),Escherichia coli MS 78-1 ,749532,749532.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 78-1,,0.978515625,0.0110754845920056,Human Pathogenic,1.0
Escherichia coli MS 79-10 (796392.4),Escherichia coli MS 79-10 ,796392,796392.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 79-10,,0.97412109375,0.0117390774220422,Human Pathogenic,1.0
Escherichia coli MS 84-1 (749533.3),Escherichia coli MS 84-1 ,749533,749533.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 84-1,,0.9639892578125,0.0214576555040083,Human Pathogenic,1.0
Escherichia coli MS 85-1 (679202.3),Escherichia coli MS 85-1 ,679202,679202.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli MS 85-1,,0.9813232421875,0.0131852890620046,Human Pathogenic,1.0
Escherichia coli NA114 (1033813.3),Escherichia coli NA114 ,1033813,1033813.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli NA114,,0.975830078125,0.0122045895995605,Human Pathogenic,1.0
Escherichia coli NCCP15658 (1169862.3),Escherichia coli NCCP15658 ,1169862,1169862.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli NCCP15658,,0.98388671875,0.0092322609380805,Human Pathogenic,1.0
Escherichia coli O103:H2 str. 12009 (585395.4),Escherichia coli O103:H2 str. 12009 ,585395,585395.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O103:H2 str. 12009,,0.984130859375,0.0102043772187531,Human Pathogenic,1.0
Escherichia coli O104:H4 str. 04-8351 (1048265.3),Escherichia coli O104:H4 str. 04-8351 ,1048265,1048265.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. 04-8351,,0.9803466796875,0.0091046779032195,Human Pathogenic,1.0
Escherichia coli O104:H4 str. 09-7901 (1048266.3),Escherichia coli O104:H4 str. 09-7901 ,1048266,1048266.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. 09-7901,,0.978515625,0.013728433515146,Human Pathogenic,1.0
Escherichia coli O104:H4 str. 11-3677 (1048334.3),Escherichia coli O104:H4 str. 11-3677 ,1048334,1048334.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. 11-3677,,0.97998046875,0.0103522534409737,Human Pathogenic,1.0
Escherichia coli O104:H4 str. 2009EL-2050 (1134782.3),Escherichia coli O104:H4 str. 2009EL-2050 ,1134782,1134782.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. 2009EL-2050,,0.983154296875,0.0077704250306833,Human Pathogenic,1.0
Escherichia coli O104:H4 str. 2009EL-2071 (1133853.3),Escherichia coli O104:H4 str. 2009EL-2071 ,1133853,1133853.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. 2009EL-2071,,0.9869384765625,0.0058018723819903,Human Pathogenic,1.0
Escherichia coli O104:H4 str. 2011C-3493 (1133852.3),Escherichia coli O104:H4 str. 2011C-3493 ,1133852,1133852.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. 2011C-3493,,0.980712890625,0.010683767815938,Human Pathogenic,1.0
Escherichia coli O104:H4 str. C227-11 (1048254.3),Escherichia coli O104:H4 str. C227-11 ,1048254,1048254.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. C227-11,,0.98095703125,0.0090759913551958,Human Pathogenic,1.0
Escherichia coli O104:H4 str. H112180280 (1042804.3),Escherichia coli O104:H4 str. H112180280 ,1042804,1042804.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. H112180280,,0.9810791015625,0.0110343730277224,Human Pathogenic,1.0
Escherichia coli O104:H4 str. TY-2482 (1038844.18),Escherichia coli O104:H4 str. TY-2482 ,1038844,1038844.18,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O104:H4 str. TY-2482,,0.980712890625,0.0098537285501028,Human Pathogenic,1.0
Escherichia coli O127:H6 str. E2348/69 (574521.7),Escherichia coli O127:H6 str. E2348/69 ,574521,574521.7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O127:H6 str. E2348/69,,0.9708251953125,0.0148840707962886,Human Pathogenic,1.0
Escherichia coli O157:H7 (83334.1),Escherichia coli O157:H7 ,83334,83334.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7,,0.98291015625,0.0105348872121051,Human Pathogenic,1.0
Escherichia coli O157:H7 EDL933 (155864.8),Escherichia coli O157:H7 EDL933 ,155864,155864.8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7 str. EDL933,,0.9847412109375,0.0110990044413694,Human Pathogenic,1.0
Escherichia coli O157:H7 str. EC4024 (444454.5),Escherichia coli O157:H7 str. EC4024 ,444454,444454.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7 str. EC4024,,0.978271484375,0.0130495390770437,Human Pathogenic,1.0
Escherichia coli O157:H7 str. EC4042 (444449.5),Escherichia coli O157:H7 str. EC4042 ,444449,444449.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7 str. EC4042,,0.9853515625,0.0075249194372179,Human Pathogenic,1.0
Escherichia coli O157:H7 str. EC4115 (444450.8),Escherichia coli O157:H7 str. EC4115 ,444450,444450.8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7 str. EC4115,,0.9874267578125,0.0092797527197251,Human Pathogenic,1.0
Escherichia coli O157:H7 str. Sakai (386585.9),Escherichia coli O157:H7 str. Sakai ,386585,386585.9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7 str. Sakai,,0.98291015625,0.0105348872121051,Human Pathogenic,1.0
Escherichia coli O157:H7 str. TW14359 (544404.4),Escherichia coli O157:H7 str. TW14359 ,544404,544404.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7 str. TW14359,,0.98388671875,0.0069053396600248,Human Pathogenic,1.0
Escherichia coli O157:H7 str. TW14588 (502346.5),Escherichia coli O157:H7 str. TW14588 ,502346,502346.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O157:H7 str. TW14588,,0.9886474609375,0.0070368003131505,Human Pathogenic,1.0
Escherichia coli O26:H11 str. 11368 (573235.3),Escherichia coli O26:H11 str. 11368 ,573235,573235.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O26:H11 str. 11368,,0.99072265625,0.0056205392740338,Human Pathogenic,1.0
Escherichia coli O55:H7 str. CB9615 (701177.3),Escherichia coli O55:H7 str. CB9615 ,701177,701177.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O55:H7 str. CB9615,,0.980712890625,0.011035048222646,Human Pathogenic,1.0
Escherichia coli O83:H1 str. NRG 857C (685038.3),Escherichia coli O83:H1 str. NRG 857C ,685038,685038.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli O83:H1 str. NRG 857C,,0.97509765625,0.0104895268842484,Human Pathogenic,1.0
Escherichia coli P12b (910348.4),Escherichia coli P12b ,910348,910348.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli,,,0.9827880859375,0.0081440204121684,Human Pathogenic,1.0
Escherichia coli PS131_S11 (562.39593),Escherichia coli PS131_S11 ,562,562.39593,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli PS131_S11,,0.979736328125,0.0091446878907851,Human Pathogenic,1.0
Escherichia coli S88 (585035.6),Escherichia coli S88 ,585035,585035.6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli S88,,0.9842529296875,0.0097495901070534,Human Pathogenic,1.0
Escherichia coli SE11 (409438.11),Escherichia coli SE11 ,409438,409438.11,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli SE11,,0.9854736328125,0.0076223111649165,Human Pathogenic,1.0
Escherichia coli SE15 (431946.3),Escherichia coli SE15 ,431946,431946.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli SE15,,0.9732666015625,0.00952070184084,Human Pathogenic,1.0
Escherichia coli str. 'clone D i14' (885275.3),Escherichia coli str. 'clone D i14' ,885275,885275.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli str. 'clone D i14',,0.9761962890625,0.0085927442482314,Human Pathogenic,1.0
Escherichia coli str. 'clone D i2' (885276.3),Escherichia coli str. 'clone D i2' ,885276,885276.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli str. 'clone D i2',,0.9761962890625,0.0085927442482314,Human Pathogenic,1.0
Escherichia coli str. K-12 substr. DH10B (316385.7),Escherichia coli str. K-12 substr. DH10B ,316385,316385.7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli str. K-12 substr. DH10B,,0.9820556640625,0.0108601423033634,Human Pathogenic,1.0
Escherichia coli str. K-12 substr. MDS42 (1110693.3),Escherichia coli str. K-12 substr. MDS42 ,1110693,1110693.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli str. K-12 substr. MDS42,,0.9781494140625,0.0091438731103771,Human Pathogenic,1.0
Escherichia coli str. K-12 substr. MG1655 (511145.12),Escherichia coli str. K-12 substr. MG1655 ,511145,511145.12,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli str. K-12 substr. MG1655,,0.9830322265625,0.0093756039742785,Human Pathogenic,1.0
Escherichia coli str. K-12 substr. MG1655star (879462.4),Escherichia coli str. K-12 substr. MG1655star ,879462,879462.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli str. K-12 substr. MG1655star,,0.9759521484375,0.0134936017663048,Human Pathogenic,1.0
Escherichia coli str. K-12 substr. W3110 (316407.9),Escherichia coli str. K-12 substr. W3110 ,316407,316407.9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli str. K-12 substr. W3110,,0.976806640625,0.0133832715563142,Human Pathogenic,1.0
Escherichia coli UM146 (869729.3),Escherichia coli UM146 ,869729,869729.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli UM146,,0.968994140625,0.0124415940490633,Human Pathogenic,1.0
Escherichia coli UMN026 (585056.7),Escherichia coli UMN026 ,585056,585056.7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli UMN026,,0.9820556640625,0.0110559588129267,Human Pathogenic,1.0
Escherichia coli UMNF18 (1050617.5),Escherichia coli UMNF18 ,1050617,1050617.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli UMNF18,,0.9814453125,0.0124008057609377,Human Pathogenic,1.0
Escherichia coli UTI89 (364106.8),Escherichia coli UTI89 ,364106,364106.8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli UTI89,,0.97802734375,0.009010079144163,Human Pathogenic,1.0
Escherichia coli W (566546.4),Escherichia coli W ,566546,566546.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli W,,0.982177734375,0.0084467011191436,Human Pathogenic,1.0
Escherichia coli Xuzhou21 (741093.3),Escherichia coli Xuzhou21 ,741093,741093.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia coli, Escherichia coli Xuzhou21,,0.986328125,0.0083508942268003,Human Pathogenic,1.0
Escherichia fergusonii ATCC 35469 (585054.5),Escherichia fergusonii ATCC 35469 ,585054,585054.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia fergusonii, Escherichia fergusonii ATCC 35469,,0.9776611328125,0.00925402471258,Human Pathogenic,1.0
Escherichia fergusonii B253 (550694.3),Escherichia fergusonii B253 ,550694,550694.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia fergusonii, Escherichia fergusonii B253,,0.9766845703125,0.0092668976448509,Human Pathogenic,1.0
Escherichia fergusonii ECD227 (981367.3),Escherichia fergusonii ECD227 ,981367,981367.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia fergusonii, Escherichia fergusonii ECD227,,0.972900390625,0.0132039231279198,Human Pathogenic,1.0
Escherichia fergusonii SS_Bg39 (6666666.201544),Escherichia fergusonii SS_Bg39 ,564,6666666.201544,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia, Escherichia fergusonii , Escherichia fergusonii SS_Bg39,,0.9791259765625,0.0050552439552853,Human Pathogenic,1.0
Escherichia fergusonii strain FDAARGOS_170 (564.14),Escherichia fergusonii strain FDAARGOS_170 ,564,564.14,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia, Escherichia fergusonii,,,0.9796142578125,0.0157328696870915,Human Pathogenic,1.0
Escherichia hermannii NBRC 105704 (1115512.3),Escherichia hermannii NBRC 105704 ,1115512,1115512.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter, Atlantibacter hermannii, Atlantibacter hermannii NBRC 105704,,0.96630859375,0.0087550884165239,Human Pathogenic,1.0
Escherichia marmotae strain HT073016 (1499973.6),Escherichia marmotae strain HT073016,1499973,1499973.6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia marmotae,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia marmotae,0.969970703125,0.0138171515594052,Human Pathogenic,1.0
Escherichia sp. 3_2_53FAA (469598.5),Escherichia sp. 3_2_53FAA ,469598,469598.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,-, Escherichia sp. 3_2_53FAA,,0.9840087890625,0.0081659473634397,Human Pathogenic,1.0
Escherichia sp. 4_1_40B (457401.3),Escherichia sp. 4_1_40B ,457401,457401.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,-, Escherichia sp. 4_1_40B,,0.9742431640625,0.0124074129573267,Human Pathogenic,1.0
Escherichia sp. TW09308 (754331.3),Escherichia sp. TW09308 ,754331,754331.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,-, Escherichia sp. TW09308,,0.980224609375,0.0045609232647142,Human Pathogenic,1.0
Escherichia vulneris NBRC 102420 (1115515.3),Escherichia vulneris NBRC 102420,1115515,1115515.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudescherichia,Pseudescherichia vulneris,Pseudescherichia vulneris NBRC 102420,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Pseudescherichia; Pseudescherichia vulneris; Pseudescherichia vulneris NBRC 102420,0.9544677734375,0.0247327226194092,Human Pathogenic,1.0
Eubacteriaceae bacterium ACC19a (796937.3),Eubacteriaceae bacterium ACC19a ,796937,796937.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoanaerobacter, Peptoanaerobacter stomatis,,,0.47589111328125,0.1529448339724962,Human Non Pathogenic,0.0
Eubacteriaceae bacterium CM2 (796939.3),Eubacteriaceae bacterium CM2 ,796939,796939.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoanaerobacter, Peptoanaerobacter stomatis, Eubacteriaceae bacterium CM2,,0.51422119140625,0.1785164175704624,Human Pathogenic,1.0
